ArgentineTicker,WallStreetTicker,Ratio
NVDA,NVDA,24
IBM,IBM,15
SDA,SDA,2
TV,TV,3
VIST,VIST,3
BIOX,BIOX,1
BKNG,BKNG,700
IP,IP,4
BKR,BKR,7
CCL,CCL,3
FCX,FCX,3
HWM,HWM,1
BA,BA,24
MO,MO,4
GE,GE,8
MUX,MUX,2
LLY,LLY,56
SBUX,SBUX,12
RTX,RTX,5
MDLZ,MDLZ,15
HSY,HSY,21
LMT,LMT,20
BMY,BMY,3
ABEV,ABEV,0
HMY,HMY,1
MSI,MSI,20
PG,PG,15
GLW,GLW,4
PFE,PFE,4
CL,CL,3
PKS,PKX,3
CAH,CAH,3
X,X,3
ADP,ADP,6
XLB,XLB,18
UAL,UAL,5
GILD,GILD,4
DD,DD,5
FDX,FDX,10
SH,SH,8
KMB,KMB,6
TXR,TX,4
MA,MA,33
ORLY,ORLY,222
GLD,GLD,50
SYY,SYY,8
CVS,CVS,15
GOOGL,GOOGL,58
HAL,HAL,2
XLI,XLI,28
ERIC,ERIC,2
AEM,AEM,6
AMD,AMD,10
KO,KO,5
OXY,OXY,5
BP,BP,5
PM,PM,18
IBN,IBN,1
DHR,DHR,54
DESP,DESP,1
XOM,XOM,10
XLP,XLP,16
ABBV,ABBV,10
MRK,MRK,5
ABT,ABT,4
BITF,BITF,0.2
GOLD,GOLD,2
TEFO,TEF,8
UGP,UGP,1
MMM,MMM,10
EA,EA,14
HON,HON,8
INTC,INTC,5
WFC,WFC,5
ORCL,ORCL,3
XLK,XLK,46
AAP,AAP,14
V,V,18
ADI,ADI,15
KGC,KGC,1
TXN,TXN,5
MOS,MOS,5
VOD,VOD,1
PAAS,PAAS,3
PEP,PEP,18
IVW,IVW,20
SONY,SONY,8
PHG,PHG,5
PBR,PBR,1
UNH,UNH,33
TWLO,TWLO,36
XLC,XLC,19
BRFS,BRFS,0.33
UBER,UBER,2
RBLX,RBLX,2
ETSY,ETSY,16
BNG,BG,5
COST,COST,48
LVS,LVS,2
NKE,NKE,12
MCD,MCD,24
AZN,AZN,2
TGT,TGT,24
SPY,SPY,20
XLE,XLE,2
XLV,XLV,29
ADGO,AGRO,1
JD,JD,4
MRVL,MRVL,14
BRKB,BRK-B,22
QQQ,QQQ,20
PSX,PSX,6
HPQ,HPQ,1
IVE,IVE,40
SLB,SLB,3
RIO,RIO,8
NEM,NEM,3
MSFT,MSFT,30
GFI,GFI,1
MU,MU,5
TM,TM,15
TEN,TS,1
WMT,WMT,18
UL,UL,3
JMIA,JMIA,1
DAL,DAL,8
PLTR,PLTR,3
NIO,NIO,4
TMUS,TMUS,33
FSLR,FSLR,18
EQNR,EQNR,6
TSM,TSM,9
JPM,JPM,15
DIA,DIA,20
EEM,EEM,5
VZ,VZ,4
ERJ,ERJ,1
XLF,XLF,2
SHEL,SHEL,2
BABA,BABA,9
PANW,PANW,50
ACN,ACN,75
CDE,CDE,1
SPGI,SPGI,45
ROKU,ROKU,13
AMAT,AMAT,5
GSK,GSK,4
ABNB,ABNB,15
BHP,BHP,2
UNP,UNP,20
NOKA,NOK,1
NFLX,NFLX,48
CSCO,CSCO,5
XLRE,XLRE,9
BSBR,BSBR,1
NU,NU,2
ITUB,ITUB,1
HD,HD,32
DOW,DOW,6
INFY,INFY,1
IBB,IBB,27
CVX,CVX,16
VEA,VEA,10
EBAY,EBAY,2
BIIB,BIIB,13
ADBE,ADBE,44
NTES,NTES,14
META,META,24
T,T,3
AIG,AIG,5
AMGN,AMGN,30
SHOP,SHOP,107
IEUR,IEUR,11
CAAP,CAAP,0.25
AEG,AEG,1
RACE,RACE,83
XLY,XLY,43
EWZ,EWZ,2
DOCU,DOCU,22
GS,GS,13
FXI,FXI,5
BA.C,BAC,4
CRM,CRM,18
JNJ,JNJ,15
IWM,IWM,10
WBA,WBA,3
AMZN,AMZN,144
TRIP,TRIP,2
PYPL,PYPL,8
PAGS,PAGS,3
SNOW,SNOW,30
ZM,ZM,47
DE,DE,40
HMC,HMC,1
GPRK,GPRK,1
AXP,AXP,15
AVGO,AVGO,39
HUT,HUT,0.2
QCOM,QCOM,11
ARM,ARM,27
DEO,DEO,6
